place_id,Restaurant Name,Website,Address,Phone,blacklist flag
ChIJtWgUBTFz6IgR78Mlb2_UJuk,Stumpknockers Restaurants,,"110 W Main St, Inverness, FL 34450, USA",(352) 726-2212,
ChIJkVBAcABz6IgRtlm1WfLFzr8,La Pergola,http://lapergolainverness.com/,"108 W Main St, Inverness, FL 34450, USA",(352) 503-2332,
ChIJba94mBpz6IgRaBV-7nrBczc,Salty Dogs Steamer and Bar,http://saltydogssteamerandbar.com/,"107 Courthouse Square, Inverness, FL 34450, USA",(352) 419-4673,
ChIJD-L-crQM6IgRzgC0UOAfAK8,Cedar River Seafood,http://cedarriverseafood.com/,"804 US Hwy 41 S, Inverness, FL 34450, USA",(352) 341-2278,
ChIJddnjIkNz6IgR1KvPtttShuM,Oscar Penns Restaurant,http://oscarpenns.com/,"207 N Apopka Ave, Inverness, FL 34450, USA",(352) 419-6354,
ChIJkem66qR06IgRN8BmTIkG-yQ,The Cove Resort and Pub,http://www.thecovepubandgrub.com/,"1242 S Cove Camp Point, Inverness, FL 34450, USA",(352) 344-5894,
ChIJZfXOeQBt6IgROm0YG8BMTQQ,Garden Bar,,"2235 E Gulf to Lake Hwy, Inverness, FL 34453, USA",(352) 344-1752,
ChIJA-aZBjFz6IgRlYzYxB8P-uQ,Coach's Pub & Eatery,http://www.coachspubeatery.com/,"114 W Main St, Inverness, FL 34450, USA",(352) 344-3333,
ChIJMeIytW516IgRYvhcgTGsTow,Fisherman's Restaurant,http://www.fishermansflorida.com/,"12311 E Gulf to Lake Hwy, Inverness, FL 34450, USA",(352) 637-5888,
ChIJ8SZam_Vz6IgReBoQz8DO460,SideBar Tavern,http://www.sidebarcitrus.com/,"203 Courthouse Square, Inverness, FL 34450, USA",(352) 419-7909,
ChIJu9QvYQBz6IgRv3vJsGzDHUc,Joes Family Restaurant,https://joesinverness.com/,"1754 US-41, Inverness, FL 34450, USA",(352) 419-4807,
ChIJW5AgQ5xz6IgRl6niX5RiGaU,Mama's Kuntry Kafe,https://www.facebook.com/profile.php?id=100057435011097&mibextid=LQQJ4d,"104 US Hwy 41 S, Inverness, FL 34452, USA",(352) 341-6262,
ChIJxzj5_TBz6IgRgY0CH5sxoEg,Pine Street Pub,http://www.pinestreetpub.com/,"108 N Pine Ave, Inverness, FL 34450, USA",(352) 341-0100,
ChIJ-70IJwBt6IgReHcoNMlwZaQ,Libby's BBQ,,"2235 E Gulf to Lake Hwy, Inverness, FL 34453, USA",(352) 344-1752,
